#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_V3_1		MDS_V3_1	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	Resource.provenance.dataSource	Source of information about the [RESOURCE]	Source of information about the [RESOURCE] and the way it was uploaded/collected.		text	68		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.verificationDate	Verfication date	Date on which the responsible party last verified the information about the [RESOURCE], even if no additional or updated information is being submitted.		text	69		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.verificationUser	User who last verified the [RESOURCE]	User who last verified the information about the [RESOURCE].		text	70		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.firstSubmittedDate	Date when the [RESOURCE] was first submitted for publication	Date when the [RESOURCE] was first submitted for publication.		text	71		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.firstSubmittedUser	User who first submitted the [RESOURCE] for publication	User who first submitted the [RESOURCE] for publication.		text	72		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.firstPostedDate	Date when the [RESOURCE] was first posted/published	Date when the [RESOURCE] was first posted/published.		text	73		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.firstPostedUser	User who first posted/published the [RESOURCE]	User who first posted/published the [RESOURCE].		text	74		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.lastUpdateSubmittedDate	Date when the last update of the [RESOURCE] was submitted for publication	Date when the last update of the [RESOURCE] was submitted for publication.		text	75		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.lastUpdateSubmittedUser	User who submitted the last update of the [RESOURCE]	User who submitted the last update of the [RESOURCE].		text	76		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.lastUpdatePostedDate	Date when the last update of the [RESOURCE] was posted/published	Date when the last update of the [RESOURCE] was posted/published.		text	77		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.lastUpdatePostedUser	User who posted/published the last update	User who posted/published the last update.		text	78		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.provenance.resourceVersion	Version number of the [RESOURCE] within the portal/system	Version number of the [RESOURCE] within the portal/system.		text	79		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.provenance	MDS_V3_1	
	Resource.nutritionalData	Nutritional data collected?	Indication whether nutritional data was collected by the [RESOURCE].		text	80		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		MDS_V3_1	
	Resource.chronicDiseases	Chronic diseases included?	Indication whether chronic diseases were addressed by the [RESOURCE].		text	81		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		MDS_V3_1	
	Resource.resourceDesign	Characteristics of the [RESOURCE]	Group of items providing information about the characteristics of a [RESOURCE].		none	82		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.resourceDesign.primaryDesign	Is it an interventional or non-interventional [RESOURCE]?	Non-interventional [RESOURCE] design refers to a [RESOURCE] that does not aim to alter [RESOURCE] outcomes of interest. Interventional [RESOURCE] design refers to a [RESOURCE] that aims to alter [RESOURCE] outcomes of interest. Select between non-interventional and interventional [RESOURCE] design.		text	83		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.studyType	Specification of [RESOURCE] type	Group of items providing information about the [RESOURCE] type.		none	84		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.studyType.interventional	[RESOURCE] type	The strategy for assigning interventions to participants. Select all that apply. If "Other" is selected, please specify the [RESOURCE] type in the field "Additional information about the [RESOURCE]".		text	85		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Resource.resourceDesign.studyType	MDS_V3_1	
	Resource.resourceDesign.studyType.nonInterventional	[RESOURCE] type	The primary strategy for participant identification and follow-up. Select all that apply. If "Other" is selected, you can specify the [RESOURCE] type in the field "Additional information about the [RESOURCE]".		text	86		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Resource.resourceDesign.studyType	MDS_V3_1	
	Resource.resourceDesign.conditions	Primary health condition(s), disease(s) or focus of the [RESOURCE]	Group of items providing information about primary health condition(s) or disease(s) considered in the [RESOURCE], or the focus of the [RESOURCE] (e.g. medication, food, therapy, device, etc.).		none	87		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.conditions.label	Name of the primary health condition, disease or focus of the [RESOURCE]	Name of primary health condition or disease considered in the [RESOURCE], or the focus of the [RESOURCE] (e.g. medication, food, therapy, device, etc.). Preferably, use terms from SNOMED CT (https://browser.ihtsdotools.org).	SARS-CoV-2	text	88		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign.conditions	MDS_V3_1	
	Resource.resourceDesign.conditions.classification	Terminology/classification	Terminology/classification used for the health condition, diesease or focus. If used, name of the terminology/classification.	SNOMED CT	text	89		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign.conditions	MDS_V3_1	
	Resource.resourceDesign.conditions.code	Code ---- If known, code of the health condition, disease or focus in the terminology/classification used	Code of the health condition, disease, focus in the terminology/classification used. If found, the code from the terminology/classification used.	http://snomed.info/id/840533007	text	90		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign.conditions	MDS_V3_1	
	Resource.resourceDesign.groupsOfDiseases	Which groups of diseases or conditions were the data collected on?	Group of items providing information about groups of diseases or conditions on which the data were collected in the [RESOURCE].		none	91		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.groupsOfDiseases.generally	Which groups of diseases or conditions were the data collected on?	'Groups of diseases or conditions on which the data were collected in the [RESOURCE]. Select all that apply. For more information about the groups of diseases/conditions, visit the WHO''s ICD-10 homepage: https://icd.who.int/en.'		text	92		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Resource.resourceDesign.groupsOfDiseases	MDS_V3_1	
	Resource.resourceDesign.groupsOfDiseases.conditions	On which other diseases or conditions were the data collected?	'Other diseases or conditions on which the data were collected in the [RESOURCE]. Select all that apply. For more information about the groups of diseases/conditions, visit the WHO''s ICD-10 homepage: https://icd.who.int/en.'	Values are based on lower level ICD-10	text	93		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Resource.resourceDesign.groupsOfDiseases	MDS_V3_1	
	Resource.resourceDesign.mortalityData	Were mortality data collected?	Mortality data.		text	94		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.ethicsCommitteeApproval	Status of the ethics committee approval	Status of the [RESOURCE] approval from the (leading) ethics committee.		text	95		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.status	Overall [RESOURCE] status	Overall status of the [RESOURCE]. Select one value from the list.		text	96		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.statusWhenIntervention	Do participants receive an intervention?	Specification whether [RESOURCE] participants receive intervention or have completed it but are still being followed according to the primary objective of the [RESOURCE]. Select one value from the list.		text	97		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.stageStopped	At what stage was the [RESOURCE] stopped?	If the [RESOURCE] was stopped prematurely, specification of the stage at what it was halted. Select one value from the list.		text	98		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.reasonStopped	Reason why the [RESOURCE] was stopped	If the [RESOURCE] was stopped prematurely, specification of the reason(s) why it was halted. E.g., accrual goal met / closed due to toxicity / closed due to lack of [RESOURCE] progress / temporarily-closed per [RESOURCE] design /etc.		text	99		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.statusEnrollingByInvitation	Are participants enrolled by invitation?	Specification whether [RESOURCE] participants have been selected from a predetermined population or enrolled by invitation.		text	100		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.recruitmentStatusRegister	Overall recruitment status of the [RESOURCE] from the register of clinical trials	Overall recruitment status of the [RESOURCE] as indicated in the corresponding register of clinical trials.		text	101		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.startDate	Start date of data collection for the [RESOURCE]	Start date of data collection for the [RESOURCE]. In case of a planned [RESOURCE], it is the intended start date; in case of an ongoing [RESOURCE] — the actual start date.		text	102		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.endDate	End date of data collection for the [RESOURCE]	In case of a [RESOURCE] with patients or other participants, it is the date when the last participant is examined or receives an intervention, or the date of the last participant’s last visit. In case of a planned or ongoing [RESOURCE], it is the intended end date; in case of a completed [RESOURCE] — the actual end date.		text	103		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.countries	Country(ies) where the [RESOURCE] takes place	Country or countries where the [RESOURCE] takes place. Select all that apply.		text	104		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.region	Regions and/or cities within a country where the [RESOURCE] takes place	If applicable, region(s) and/or city(ies) within a country where the [RESOURCE] takes place.		text	105		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.centers	Is it a mono- or multicentric [RESOURCE]?	Specification whether a [RESOURCE] is conducted at one [RESOURCE] center or at more than one [RESOURCE] center.		text	106		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.centersNumber	Number of [RESOURCE] centers	Number of centers involved in the [RESOURCE].		int	107		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.dataProviders	Is this [RESOURCE] occurring from one or more data providers?	Specification whether this [RESOURCE] is occuring from one data provider or at more than one data provider.		text	108		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
	Resource.resourceDesign.dataProvidersNumber	Number of [RESOURCE] data providers	Number of data providers involved in the [RESOURCE].		int	109		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.resourceDesign	MDS_V3_1	
