#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_V3_1_UC_5.1		MDS_V3_1_UC_5.1	
	DietAssessment.dietarySupplements	Dietary supplements inquired?	Does the dietary assessment instrument inquire information about dietary supplements?		text	14		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder
	DietAssessment.instrument	Food frequency questionnaire (FFQ)	MDS_V3_1_UC_5.1_DI_0	0
	DietAssessment.instrument	Diet history	MDS_V3_1_UC_5.1_DI_1	1
	DietAssessment.instrument	24-h dietary recall	MDS_V3_1_UC_5.1_DI_2	2
	DietAssessment.instrument	Food record	MDS_V3_1_UC_5.1_DI_3	3
	DietAssessment.instrument	Screener	MDS_V3_1_UC_5.1_DI_4	4
	DietAssessment.instrument	Other	MDS_V3_1_UC_5.1_DI_5	5
	DietAssessment.mode	Face-to-face interview	MDS_V3_1_UC_5.1_DM_0	0
	DietAssessment.mode	Other	MDS_V3_1_UC_5.1_DM_1	1
	DietAssessment.mode	Proxy-administered	MDS_V3_1_UC_5.1_DM_2	2
	DietAssessment.mode	Self-administered	MDS_V3_1_UC_5.1_DM_3	3
	DietAssessment.mode	Telephone interview	MDS_V3_1_UC_5.1_DM_4	4
	DietAssessment.device	App-based	MDS_V3_1_UC_5.1_DD_0	0
	DietAssessment.device	Online questionnaire	MDS_V3_1_UC_5.1_DD_1	1
	DietAssessment.device	Other	MDS_V3_1_UC_5.1_DD_2	2
	DietAssessment.device	Paper-based	MDS_V3_1_UC_5.1_DD_3	3
	DietAssessment.portionSizeEstimation	Described portion sizes	MDS_V3_1_UC_5.1_DP_0	0
	DietAssessment.portionSizeEstimation	None	MDS_V3_1_UC_5.1_DP_1	1
	DietAssessment.portionSizeEstimation	Picture book/visual aids	MDS_V3_1_UC_5.1_DP_2	2
	DietAssessment.portionSizeEstimation	Volume measures	MDS_V3_1_UC_5.1_DP_3	3
	DietAssessment.portionSizeEstimation	Weighing	MDS_V3_1_UC_5.1_DP_4	4
	DietAssessment.referencePeriodUnit	Days	MDS_V3_1_UC_5.1_DR_0	0
	DietAssessment.referencePeriodUnit	Weeks	MDS_V3_1_UC_5.1_DR_1	1
	DietAssessment.referencePeriodUnit	Months	MDS_V3_1_UC_5.1_DR_2	2
	DietAssessment.referencePeriodUnit	Years	MDS_V3_1_UC_5.1_DR_3	3
	DietAssessment.repeat	Yes	MDS_V3_1_UC_5.1_DR_1_0	0
	DietAssessment.repeat	No	MDS_V3_1_UC_5.1_DR_1_1	1
	DietAssessment.validity	Yes	MDS_V3_1_UC_5.1_DV_0	0
	DietAssessment.validity	No	MDS_V3_1_UC_5.1_DV_1	1
	DietAssessment.reliability	Yes	MDS_V3_1_UC_5.1_DR_2_0	0
	DietAssessment.reliability	No	MDS_V3_1_UC_5.1_DR_2_1	1
	DietAssessment.dietarySupplements	Yes	MDS_V3_1_UC_5.1_DD_1_0	0
	DietAssessment.dietarySupplements	No	MDS_V3_1_UC_5.1_DD_1_1	1
